area_type,location,total_sqft,bath,balcony,price,ready_to_move,bhk
Super built-up  Area,6th Phase JP Nagar,2003.0,3,3,200.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1810.0,3,3,131.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1515.0,2,2,135.0,1,3.0
Super built-up  Area,6th Phase JP Nagar,1192.0,2,3,75.0,1,2.0
Super built-up  Area,6th Phase JP Nagar,1280.0,2,1,88.0,1,2.0
Built-up  Area,7th Phase JP Nagar,1080.0,2,2,72.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2,2,93.0,1,2.0
Built-up  Area,7th Phase JP Nagar,1420.0,2,1,100.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1850.0,3,1,150.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1245.0,2,1,94.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1175.0,2,1,82.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1400.0,2,1,95.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,2225.0,3,1,160.0,0,3.0
Built-up  Area,7th Phase JP Nagar,1050.0,2,1,71.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1100.0,2,0,46.0,1,2.0
Built-up  Area,7th Phase JP Nagar,918.0,2,1,50.49,1,2.0
Super built-up  Area,7th Phase JP Nagar,1450.0,2,1,100.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1070.0,2,1,42.79,1,2.0
Super built-up  Area,7th Phase JP Nagar,1190.0,2,1,49.98,1,2.0
Super built-up  Area,7th Phase JP Nagar,1420.0,2,2,96.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,2,120.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,1,42.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,980.0,2,2,69.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1035.0,2,1,41.39,1,2.0
Super built-up  Area,7th Phase JP Nagar,1370.0,2,1,56.17,1,2.0
Super built-up  Area,7th Phase JP Nagar,1180.0,2,2,72.0,1,2.0
Built-up  Area,7th Phase JP Nagar,5080.0,7,0,450.0,1,6.0
Super built-up  Area,7th Phase JP Nagar,1300.0,2,2,52.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1050.0,2,1,57.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1343.0,2,2,56.41,1,3.0
Super built-up  Area,7th Phase JP Nagar,1405.0,2,2,59.01,1,3.0
Built-up  Area,7th Phase JP Nagar,1400.0,3,1,115.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1075.0,2,1,42.99,1,2.0
Super built-up  Area,7th Phase JP Nagar,1100.0,2,2,44.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2,1,83.0,1,2.0
Built-up  Area,7th Phase JP Nagar,3300.0,4,0,150.0,1,4.0
Super built-up  Area,7th Phase JP Nagar,2503.0,4,0,188.0,0,4.0
Super built-up  Area,7th Phase JP Nagar,2200.0,3,2,190.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1250.0,3,2,65.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1385.0,2,2,58.17,1,3.0
Super built-up  Area,7th Phase JP Nagar,1575.0,2,2,110.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3,2,140.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1370.0,2,2,54.79,1,3.0
Super built-up  Area,7th Phase JP Nagar,1370.0,2,1,54.79,1,3.0
Built-up  Area,7th Phase JP Nagar,1575.0,2,2,120.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3,2,150.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1175.0,2,2,82.5,1,2.0
Built-up  Area,7th Phase JP Nagar,3300.0,4,3,160.0,1,3.0
Plot  Area,7th Phase JP Nagar,2200.0,4,2,105.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1215.0,2,2,90.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,1,75.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1300.0,3,2,89.13,1,3.0
Super built-up  Area,7th Phase JP Nagar,1130.0,2,2,73.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1450.0,3,2,100.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1350.0,3,2,58.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,1,50.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1275.0,2,1,87.0,1,2.0
Built-up  Area,7th Phase JP Nagar,1460.0,3,1,70.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1650.0,3,2,110.0,1,3.0
Built-up  Area,7th Phase JP Nagar,850.0,2,2,42.0,1,2.0
Built-up  Area,7th Phase JP Nagar,1680.0,3,2,117.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3,1,150.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1236.0,2,2,61.33,1,2.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2,2,53.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,2,125.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1675.0,2,2,135.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1187.0,2,1,59.0,0,2.0
Super built-up  Area,7th Phase JP Nagar,1850.0,3,2,155.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1000.0,2,1,61.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1460.0,2,2,100.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1650.0,3,3,110.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1200.0,2,2,62.5,1,2.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2,1,70.65,1,2.0
Super built-up  Area,7th Phase JP Nagar,1070.0,2,2,42.0,0,2.0
Super built-up  Area,7th Phase JP Nagar,1080.0,2,2,75.0,1,2.0
Built-up  Area,7th Phase JP Nagar,1415.0,3,1,65.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,3,125.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1040.0,2,1,41.59,1,2.0
Super built-up  Area,7th Phase JP Nagar,1100.0,2,1,44.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1460.0,2,1,97.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1120.0,2,2,65.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1100.0,3,1,60.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1790.0,3,3,120.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,2,117.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,1,77.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1174.0,2,1,47.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1040.0,2,1,75.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1800.0,3,2,130.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,0,68.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1400.0,2,2,57.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1000.0,2,2,60.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,980.0,2,1,86.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1050.0,2,1,77.47,1,2.0
Super built-up  Area,7th Phase JP Nagar,1270.0,2,1,80.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1463.0,2,1,61.45,1,3.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,2,122.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1130.0,2,2,85.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,3,130.0,1,3.0
Built-up  Area,7th Phase JP Nagar,2980.0,4,2,260.0,1,3.0
Built-up  Area,7th Phase JP Nagar,980.0,2,1,77.44,1,2.0
Super built-up  Area,7th Phase JP Nagar,1680.0,3,2,112.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1515.0,2,1,76.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,2095.0,3,2,150.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1976.0,3,1,145.0,0,3.0
Super built-up  Area,7th Phase JP Nagar,1600.0,2,2,110.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1765.0,3,2,118.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1275.0,2,2,88.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1450.0,2,1,102.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1075.0,2,1,57.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,750.0,1,2,47.0,1,1.0
Super built-up  Area,7th Phase JP Nagar,990.0,2,2,50.0,1,2.0
Plot  Area,7th Phase JP Nagar,1000.0,1,1,60.0,1,1.0
Built-up  Area,7th Phase JP Nagar,1277.0,2,1,51.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1680.0,2,3,92.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1430.0,2,1,102.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1128.0,2,1,60.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,2100.0,3,2,190.0,1,3.0
Built-up  Area,7th Phase JP Nagar,1140.0,2,1,57.0,1,2.0
Super built-up  Area,7th Phase JP Nagar,1420.0,3,2,90.0,1,3.0
Super built-up  Area,7th Phase JP Nagar,1530.0,2,1,108.0,1,2.0
Super built-up  Area,8th Phase JP Nagar,1073.5,2,0,54.005,0,2.0
Super built-up  Area,8th Phase JP Nagar,451.0,1,0,29.9,0,1.0
Super built-up  Area,8th Phase JP Nagar,1240.0,3,2,43.5,0,3.0
Super built-up  Area,8th Phase JP Nagar,1062.0,2,1,42.47,1,2.0
Super built-up  Area,8th Phase JP Nagar,1230.0,2,2,43.5,0,3.0
Super built-up  Area,8th Phase JP Nagar,1455.0,3,2,73.31,0,3.0
Super built-up  Area,8th Phase JP Nagar,871.0,2,2,55.0,1,2.0
Super built-up  Area,8th Phase JP Nagar,1098.0,2,1,43.91,1,2.0
Super built-up  Area,8th Phase JP Nagar,1800.0,3,1,80.0,1,3.0
Built-up  Area,8th Phase JP Nagar,2700.0,4,2,130.0,1,4.0
Super built-up  Area,8th Phase JP Nagar,1080.0,2,2,38.0,0,2.0
Super built-up  Area,8th Phase JP Nagar,1059.0,2,2,34.5,0,2.0
Super built-up  Area,8th Phase JP Nagar,1080.0,2,2,35.0,0,2.0
Super built-up  Area,8th Phase JP Nagar,1275.0,2,2,41.5,0,3.0
Super built-up  Area,8th Phase JP Nagar,500.0,1,1,31.0,0,1.0
Super built-up  Area,8th Phase JP Nagar,1100.0,2,2,35.0,0,2.0
Super built-up  Area,8th Phase JP Nagar,2100.0,4,3,92.0,1,4.0
Super built-up  Area,8th Phase JP Nagar,1035.0,2,1,39.33,1,2.0
Super built-up  Area,8th Phase JP Nagar,909.0,2,1,40.9,1,2.0
Super built-up  Area,8th Phase JP Nagar,1431.5,3,0,72.02,0,3.0
Built-up  Area,8th Phase JP Nagar,1900.0,4,1,90.0,1,3.0
Super built-up  Area,8th Phase JP Nagar,500.0,1,1,30.0,0,1.0
Super built-up  Area,8th Phase JP Nagar,1125.0,2,2,36.94,0,2.0
Super built-up  Area,8th Phase JP Nagar,1200.0,3,2,110.0,1,4.0
Super built-up  Area,8th Phase JP Nagar,1100.0,2,3,35.0,1,2.0
Super built-up  Area,8th Phase JP Nagar,1089.0,2,1,43.55,1,2.0
Super built-up  Area,8th Phase JP Nagar,1605.0,2,2,65.0,1,3.0
Super built-up  Area,8th Phase JP Nagar,1504.0,2,2,83.0,1,3.0
Built-up  Area,8th Phase JP Nagar,2600.0,4,2,115.0,1,4.0
Super built-up  Area,8th Phase JP Nagar,1368.0,2,1,54.71,1,3.0
Super built-up  Area,8th Phase JP Nagar,1224.0,2,2,48.95,1,3.0
Super built-up  Area,8th Phase JP Nagar,1513.0,2,3,62.0,1,2.0
Built-up  Area,8th Phase JP Nagar,1298.0,2,1,59.0,1,2.0
Built-up  Area,8th Phase JP Nagar,1006.0,2,0,44.0,1,2.0
Carpet  Area,8th Phase JP Nagar,500.0,1,1,33.0,0,1.0
Super built-up  Area,8th Phase JP Nagar,1160.0,2,1,95.0,1,2.0
Super built-up  Area,8th Phase JP Nagar,1245.0,2,1,59.0,0,2.0
Super built-up  Area,8th Phase JP Nagar,1510.0,2,3,80.0,1,2.0
Super built-up  Area,8th Phase JP Nagar,3300.0,3,2,165.0,1,3.0
Built-up  Area,8th Phase JP Nagar,1730.0,5,2,75.0,1,5.0
Super built-up  Area,8th Phase JP Nagar,1296.0,2,2,51.83,1,3.0
Super built-up  Area,8th Phase JP Nagar,1275.0,3,2,45.0,0,3.0
Super built-up  Area,8th Phase JP Nagar,1046.0,2,1,48.0,0,2.0
Super built-up  Area,8th Phase JP Nagar,1269.0,2,3,50.75,1,3.0
Super built-up  Area,8th Phase JP Nagar,1408.0,3,2,80.0,0,3.0
Super built-up  Area,8th Phase JP Nagar,1500.0,2,3,55.0,1,3.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2,1,50.0,1,2.0
Built-up  Area,9th Phase JP Nagar,1890.0,2,2,85.0,1,3.0
Super built-up  Area,9th Phase JP Nagar,1100.0,2,1,65.0,0,2.0
Super built-up  Area,9th Phase JP Nagar,1080.0,2,2,37.0,0,2.0
Built-up  Area,9th Phase JP Nagar,1035.0,2,1,45.0,1,2.0
Built-up  Area,9th Phase JP Nagar,5000.0,4,3,290.0,1,4.0
Built-up  Area,9th Phase JP Nagar,1164.0,2,1,56.0,1,2.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2,1,42.0,1,2.0
Built-up  Area,9th Phase JP Nagar,3500.0,4,0,300.0,1,4.0
Super built-up  Area,9th Phase JP Nagar,1127.0,2,1,50.0,0,2.0
Super built-up  Area,9th Phase JP Nagar,1005.0,2,1,43.0,1,2.0
Built-up  Area,9th Phase JP Nagar,835.0,2,0,37.0,1,2.0
Super built-up  Area,9th Phase JP Nagar,1050.0,2,2,39.0,0,2.0
Super built-up  Area,9th Phase JP Nagar,660.0,2,0,27.0,1,2.0
Built-up  Area,9th Phase JP Nagar,600.0,1,0,20.0,1,1.0
Super built-up  Area,9th Phase JP Nagar,1466.0,2,2,71.0,0,2.0
Built-up  Area,9th Phase JP Nagar,1890.0,2,0,93.0,1,3.0
Super built-up  Area,9th Phase JP Nagar,1079.0,2,1,60.0,0,2.0
Super built-up  Area,9th Phase JP Nagar,1480.0,2,1,80.0,0,2.0
Plot  Area,9th Phase JP Nagar,1200.0,2,0,80.0,1,2.0
Super built-up  Area,9th Phase JP Nagar,905.0,2,1,32.0,1,2.0
Super built-up  Area,9th Phase JP Nagar,1073.0,2,1,52.36,0,2.0
Super built-up  Area,9th Phase JP Nagar,1719.3,2,2,88.0,1,3.0
Super built-up  Area,9th Phase JP Nagar,1780.0,3,2,88.0,0,3.0
Built-up  Area,9th Phase JP Nagar,1300.0,2,2,58.0,1,3.0
Super built-up  Area,9th Phase JP Nagar,1522.0,3,2,90.0,0,3.0
Super built-up  Area,9th Phase JP Nagar,1571.0,3,2,65.0,1,3.0
Built-up  Area,9th Phase JP Nagar,1900.0,4,2,80.0,1,4.0
Built-up  Area,9th Phase JP Nagar,890.0,2,2,45.0,1,2.0
Super built-up  Area,9th Phase JP Nagar,1240.0,2,2,39.89,0,3.0
Built-up  Area,9th Phase JP Nagar,5000.0,4,0,300.0,1,4.0
Super built-up  Area,9th Phase JP Nagar,1240.0,2,2,42.85,0,3.0
Super built-up  Area,9th Phase JP Nagar,1050.0,2,2,35.0,0,2.0
Super built-up  Area,9th Phase JP Nagar,1331.95,2,2,69.0,1,2.0
Super built-up  Area,AECS Layout,1100.0,2,3,45.0,1,2.0
Super built-up  Area,AECS Layout,1028.0,2,1,42.0,1,2.0
Super built-up  Area,AECS Layout,1199.0,2,2,65.0,1,2.0
Super built-up  Area,AECS Layout,1080.0,2,2,55.0,1,2.0
Super built-up  Area,AECS Layout,1123.0,2,2,64.0,1,2.0
Super built-up  Area,AECS Layout,1308.0,2,1,60.0,1,2.0
Super built-up  Area,AECS Layout,1005.0,2,1,55.0,1,2.0
Built-up  Area,AECS Layout,2000.0,3,1,90.0,1,3.0
Super built-up  Area,Abbigere,985.0,2,1,40.39,1,2.0
Built-up  Area,Abbigere,2200.0,6,2,68.0,1,6.0
Super built-up  Area,Abbigere,765.0,2,2,30.0,1,1.0
Super built-up  Area,Abbigere,880.0,2,1,35.0,0,2.0
Super built-up  Area,Abbigere,795.0,2,1,32.54,1,2.0
Super built-up  Area,Abbigere,1005.0,2,1,39.59,1,2.0
Super built-up  Area,Abbigere,734.0,1,0,19.82,0,1.0
Super built-up  Area,Abbigere,1260.0,2,1,45.0,0,3.0
Super built-up  Area,Abbigere,1020.0,2,1,41.82,1,2.0
Built-up  Area,Abbigere,2500.0,6,0,81.0,1,6.0
Super built-up  Area,Abbigere,1130.0,2,1,46.33,1,2.0
Super built-up  Area,Abbigere,795.0,1,1,32.6,1,2.0
Built-up  Area,Abbigere,3000.0,8,0,150.0,1,8.0
Super built-up  Area,Abbigere,985.0,2,1,38.92,1,2.0
Super built-up  Area,Abbigere,1000.0,2,1,41.0,1,2.0
Super built-up  Area,Abbigere,995.0,2,1,40.8,1,2.0
Super built-up  Area,Abbigere,1020.0,2,1,40.8,1,2.0
Super built-up  Area,Akshaya Nagar,1388.0,2,3,57.0,1,2.0
Super built-up  Area,Akshaya Nagar,1070.0,2,1,54.0,1,2.0
Built-up  Area,Akshaya Nagar,1280.0,2,0,58.0,1,2.0
Built-up  Area,Akshaya Nagar,1662.0,3,3,85.1,1,3.0
Super built-up  Area,Akshaya Nagar,1897.0,3,2,120.0,1,3.0
Super built-up  Area,Akshaya Nagar,1410.0,2,2,75.0,1,3.0
Super built-up  Area,Akshaya Nagar,1360.0,2,2,85.0,0,3.0
Super built-up  Area,Akshaya Nagar,1600.0,2,2,65.0,1,3.0
Super built-up  Area,Akshaya Nagar,1410.0,2,2,80.0,1,3.0
Built-up  Area,Akshaya Nagar,1662.0,3,2,85.0,1,3.0
Built-up  Area,Akshaya Nagar,1662.0,3,2,85.5,1,3.0
Built-up  Area,Akshaya Nagar,1280.0,2,1,60.0,1,2.0
Built-up  Area,Akshaya Nagar,1666.0,3,0,95.0,1,3.0
Super built-up  Area,Akshaya Nagar,1575.0,3,0,90.0,1,3.0
Super built-up  Area,Akshaya Nagar,1430.0,2,2,75.0,1,3.0
Built-up  Area,Akshaya Nagar,1419.0,2,3,73.0,1,3.0
Super built-up  Area,Akshaya Nagar,1280.0,2,1,60.0,1,2.0
Super built-up  Area,Akshaya Nagar,1200.0,2,1,50.0,1,2.0
Super built-up  Area,Akshaya Nagar,1092.0,2,1,60.0,0,2.0
Super built-up  Area,Akshaya Nagar,1690.0,3,2,85.0,1,3.0
Super built-up  Area,Akshaya Nagar,1700.0,3,1,80.0,1,3.0
Super built-up  Area,Akshaya Nagar,1897.0,4,2,93.0,1,3.0
Super built-up  Area,Akshaya Nagar,1884.0,3,3,98.0,1,3.0
Super built-up  Area,Akshaya Nagar,1314.0,2,2,68.8,1,2.0
Super built-up  Area,Akshaya Nagar,1265.0,2,3,67.0,1,2.0
Super built-up  Area,Akshaya Nagar,1126.0,2,1,55.0,1,2.0
Super built-up  Area,Akshaya Nagar,2300.0,4,3,102.0,1,3.0
Super built-up  Area,Akshaya Nagar,1662.0,3,0,90.0,1,3.0
Super built-up  Area,Akshaya Nagar,1420.0,2,2,75.0,1,3.0
Super built-up  Area,Akshaya Nagar,1412.0,2,3,88.0,1,3.0
Built-up  Area,Akshaya Nagar,1434.0,3,3,84.0,1,3.0
Super built-up  Area,Akshaya Nagar,1890.0,4,2,100.0,1,3.0
Built-up  Area,Akshaya Nagar,2650.0,3,2,125.0,1,3.0
Super built-up  Area,Akshaya Nagar,1419.0,2,3,87.0,1,3.0
Super built-up  Area,Akshaya Nagar,1300.0,2,1,54.0,1,2.0
Super built-up  Area,Akshaya Nagar,1113.0,2,1,52.0,1,2.0
Super built-up  Area,Akshaya Nagar,1820.0,4,2,95.0,1,3.0
Super built-up  Area,Akshaya Nagar,1100.0,2,2,48.0,1,2.0
Super built-up  Area,Akshaya Nagar,1896.0,3,2,102.0,1,3.0
Super built-up  Area,Akshaya Nagar,1300.0,2,2,66.0,1,2.0
